name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2024-04-08,17.1,9.8,13,17.1,8.8,13,8.5,75.2,1.002,100,12.5,rain,0,0,38.9,23.4,167.6,1004.3,54.7,15.4,113.8,9.8,5,,2024-04-08T06:19:13,2024-04-08T19:46:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03680099999,F6665,03781099999,03672099999,03772099999,03770099999"
london,2024-04-09,13.1,8.6,10.3,13.1,4.6,8.8,4.4,68.1,0.411,100,20.83,rain,0,0,64.8,38.1,244.1,1006.7,77.1,18.3,90.2,7.8,4,,2024-04-09T06:17:00,2024-04-09T19:48:03,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,F6665,03781099999,03672099999,03772099999,03770099999"
london,2024-04-10,13.6,5.1,9.9,13.6,2.9,9,6.7,81.2,0.605,100,16.67,rain,0,0,48.3,27.1,218.5,1025.1,56,14,113.7,9.7,5,,2024-04-10T06:14:48,2024-04-10T19:49:44,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,F6665,03781099999,03672099999,03772099999,03770099999"
london,2024-04-11,18.8,13,15,18.8,13,15,11.8,81.9,0,0,0,,0,0,37.1,21.4,227.1,1028.4,95.1,13.4,129.8,11.3,7,,2024-04-11T06:12:36,2024-04-11T19:51:24,0.09,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,F6665,03781099999,03672099999,03772099999,03770099999"
london,2024-04-12,21.3,10.6,15.2,21.3,10.6,15.2,9.4,69,0,0,0,,0,0,44.9,29.8,224.7,1028.5,24.9,20.6,189,16.4,7,,2024-04-12T06:10:25,2024-04-12T19:53:05,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,F6665,03781099999,03672099999,03768099999,03684099999,03772099999,03770099999"
london,2024-04-13,20.6,12.3,15.8,20.6,12.3,15.8,9.5,68.3,0,0,0,,0,0,39.3,26.1,233.4,1022.6,44.8,18.7,192.5,16.5,7,,2024-04-13T06:08:15,2024-04-13T19:54:45,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03680099999,F6665,03781099999,03672099999,03768099999,03684099999,03772099999,03770099999"
london,2024-04-14,14.6,9.6,11.9,14.6,7.3,11.8,3.9,59.5,0,0,0,,0,0,26.8,22.1,265.5,1022.4,37.9,22.2,167.2,14.6,6,,2024-04-14T06:06:05,2024-04-14T19:56:25,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,F6665,03781099999,03672099999,03768099999,03772099999,03770099999"
london,2024-04-15,13.3,7.6,9.7,13.3,4.1,7.5,2.8,63.4,2.01,100,20.83,rain,0,0,66.2,43.6,266.8,1008.7,52.3,23.2,144.9,12.6,7,,2024-04-15T06:03:56,2024-04-15T19:58:06,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,F6665,03781099999,03672099999,03768099999,03684099999,03772099999,03770099999"
london,2024-04-16,13.1,8,10.2,13.1,4.4,8.7,3.8,64.9,0.427,100,54.17,rain,0,0,53.5,28.4,307.9,1012.3,77.4,23.5,115,9.5,5,,2024-04-16T06:01:48,2024-04-16T19:59:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,F6665,03781099999,03672099999,03772099999,03770099999"
london,2024-04-17,12.1,5.5,8.5,12.1,2.8,7,1.6,63.7,0,0,0,,0,0,33.9,21.8,314.8,1015.8,53.7,24.6,144.1,9.9,6,,2024-04-17T05:59:41,2024-04-17T20:01:26,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03781099999,03672099999,F6665,03768099999,03772099999,03770099999"
london,2024-04-18,14.5,5.3,9.7,14.5,2.9,8.5,1.8,60.5,0.2,100,8.33,rain,0,0,42.8,25.2,299,1021.2,53.6,23.9,214.7,18.5,9,,2024-04-18T05:57:34,2024-04-18T20:03:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,F6665,03781099999,03672099999,03768099999,03772099999,03770099999"
