name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barcelona,2019-05-26,23.3,14.4,18.9,23.3,14.4,18.9,12.2,66.9,0.018,100,8.33,rain,0,0,43,17.9,281.1,1015,30.9,16.7,223.9,19.4,8,,2019-05-26T06:23:53,2019-05-26T21:13:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LEBL,D1298,08186099999,LEGE,08180099999,F3574,08184099999,LELL,08181099999,08176399999"
barcelona,2019-05-27,22.7,13.7,18.6,22.7,13.7,18.6,12.4,68,0,0,0,,0,0,35.6,26.7,197.3,1011.8,25.9,16.9,308.5,26.8,9,,2019-05-27T06:23:15,2019-05-27T21:14:07,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,C8593,D1298,08186099999,LEGE,08180099999,F3574,08184099999,LELL,08181099999,08176399999"
barcelona,2019-05-28,20.6,15.2,18,20.6,15.2,18,13.4,75,0.188,100,12.5,rain,0,0,33.5,19.3,118.9,1013.5,50.7,14.5,169.3,14.7,8,,2019-05-28T06:22:38,2019-05-28T21:14:58,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,D1298,08186099999,LEGE,08180099999,08184099999,LELL,08181099999,08176399999"
barcelona,2019-05-29,21.8,14.1,18,21.8,14.1,18,11.6,67.3,0,0,0,,0,0,37,27.2,180.9,1019.5,29.3,15.3,351.1,29.9,9,,2019-05-29T06:22:03,2019-05-29T21:15:47,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,08186099999,LEGE,08180099999,F3574,08184099999,LELL,08181099999,08176399999"
barcelona,2019-05-30,22.5,12.3,17.8,22.5,12.3,17.8,12.2,70.7,0,0,0,,0,0,26,21,195.5,1024.3,17.2,14.7,318.1,27.5,9,,2019-05-30T06:21:31,2019-05-30T21:16:35,0.87,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,08186099999,LEGE,08180099999,F3574,08184099999,LELL,08181099999,08176399999"
barcelona,2019-05-31,24.2,13.7,19.8,24.2,13.7,19.8,11.3,60.5,0,0,0,,0,0,33.9,25.9,214.3,1024,1.4,15.9,317.1,27.7,9,,2019-05-31T06:21:00,2019-05-31T21:17:21,0.9,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,08186099999,LEGE,08180099999,F3574,08184099999,LELL,08181099999,08176399999"
barcelona,2019-06-01,25.8,15.7,21,25.8,15.7,21,11.7,56.1,0,0,0,,0,0,35.7,26.4,216.9,1021.4,2.5,17.3,315.6,27.5,9,,2019-06-01T06:20:31,2019-06-01T21:18:07,0.94,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,08186099999,LEGE,08180099999,08184099999,LELL,08181099999,08176399999"
barcelona,2019-06-02,25.9,16,21.2,25.9,16,21.2,11.6,55.9,0,0,0,,0,0,41.6,27.1,225.5,1018.9,7.3,16.8,311.8,27,9,,2019-06-02T06:20:04,2019-06-02T21:18:52,0.97,Clear,Clear conditions throughout the day.,clear-day,"LEBL,C8593,D1298,08186099999,LEGE,08180099999,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2019-06-03,28.1,16.4,21.5,28.7,16.4,21.5,12.1,56.3,0,0,0,,0,0,35.1,26.6,224,1017.2,32.3,16.7,296.5,25.5,8,,2019-06-03T06:19:39,2019-06-03T21:19:35,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LEBL,D1298,08186099999,LEGE,08180099999,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2019-06-04,27.2,15.7,21.1,28.2,15.7,21.2,13.8,63.7,0,0,0,,0,0,30.7,19,198.8,1012.6,20.5,16.6,315.7,27.3,8,,2019-06-04T06:19:17,2019-06-04T21:20:17,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,08186099999,LEGE,08180099999,08184099999,LELL,V7DJ5,08181099999,08176399999"
