name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barcelona,2024-04-08,20.5,13.3,16.4,20.5,13.3,16.4,13.1,81.4,0,0,0,,0,0,31.7,21.2,84.2,1010.4,42.4,10.2,147.5,12.6,6,,2024-04-08T07:22:17,2024-04-08T20:24:35,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2024-04-09,19,11.2,14.6,19,11.2,14.6,6.4,58.8,0.028,100,4.17,rain,0,0,59.4,22.7,299.5,1019.1,36.2,16,233.5,20.2,9,,2024-04-09T07:20:40,2024-04-09T20:25:39,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-10,16.8,7.7,12.8,16.8,5.3,12.3,5.5,63.1,0.416,100,4.17,rain,0,0,48.2,17.8,159,1025.8,29.6,15.7,260.2,22.4,8,,2024-04-10T07:19:04,2024-04-10T20:26:44,0.05,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-11,18.6,8.2,14.7,18.6,6,14.5,7.8,64.7,0,0,0,,0,0,35.3,18.9,227.7,1028.2,8.8,16.8,247.3,21.3,8,,2024-04-11T07:17:27,2024-04-11T20:27:49,0.09,Clear,Clear conditions throughout the day.,clear-day,"LEBL,C8593,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-12,22,10.3,16.6,22,10.3,16.6,8.1,59.3,0,0,0,,0,0,44.6,19.8,263.4,1029.5,4.1,15.4,249,21.4,8,,2024-04-12T07:15:52,2024-04-12T20:28:54,0.12,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-13,24.8,12.6,18.4,24.8,12.6,18.4,7.4,50.1,0,0,0,,0,0,11.2,17.5,62.8,1026.7,5.4,16.5,257.6,22.3,8,,2024-04-13T07:14:17,2024-04-13T20:29:59,0.15,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-14,26.3,11.3,19,26.3,11.3,19,6.9,48.2,0,0,0,,0,0,35.3,23.8,231,1023.6,4.2,16.5,261.4,22.6,8,,2024-04-14T07:12:43,2024-04-14T20:31:03,0.19,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-15,21.8,13.1,17.5,21.8,13.1,17.5,8.9,57.9,0,0,0,,0,0,38.9,14.9,145.3,1018.5,52.6,16.1,196.4,16.9,7,,2024-04-15T07:11:09,2024-04-15T20:32:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2024-04-16,18.5,13.1,16.2,18.5,13.1,16.2,8.9,63.3,0,0,0,,0,0,44.6,20.8,167.1,1014.9,51,13.9,260.4,21.8,8,,2024-04-16T07:09:36,2024-04-16T20:33:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-17,17.3,10.8,14.3,17.3,10.8,14.3,7.8,65.5,1.084,100,8.33,rain,0,0,47.5,24.7,196.1,1014.4,70.1,14.6,153.3,10.9,8,,2024-04-17T07:08:04,2024-04-17T20:34:18,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,D1298,LEGE,D4982,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-18,16.4,11.6,13.8,16.4,11.6,13.8,7.8,67.5,0.053,100,8.33,rain,0,0,50,28.3,97.3,1015.5,68.5,15.6,132.7,11.5,8,,2024-04-18T07:06:33,2024-04-18T20:35:23,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2024-04-19,19,7.2,13.6,19,5.1,13.2,6.2,63,0.025,100,4.17,rain,0,0,52.6,32.1,240.9,1020.6,20.6,15.7,270.8,23.4,8,,2024-04-19T07:05:02,2024-04-19T20:36:27,0.35,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-20,20.3,8.8,14.7,20.3,7.2,14.6,9,69.5,0,0,0,,0,0,38.9,17.3,185.4,1016.3,15.8,15.6,247.8,21.2,8,,2024-04-20T07:03:32,2024-04-20T20:37:32,0.38,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-21,16.9,10.5,13.6,16.9,10.5,13.6,7.2,66.2,0,0,0,,0,0,40.7,19.7,178.4,1016.3,66.9,15.9,177.2,15.4,8,,2024-04-21T07:02:03,2024-04-21T20:38:37,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2024-04-22,14.6,8.8,11.6,14.6,7.1,11.3,7.3,75.8,1.106,100,4.17,rain,0,0,43.9,24.8,192.4,1015.4,75.3,14.3,147.3,12.6,8,,2024-04-22T07:00:35,2024-04-22T20:39:42,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-23,14.4,6.5,10.9,14.4,5.3,10.5,3.6,64.3,10.113,100,4.17,rain,0,0,44.6,20.6,170.5,1014.8,40.1,16.5,190.1,16.8,8,,2024-04-23T06:59:08,2024-04-23T20:40:47,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-24,17.4,4.2,11.3,17.4,1.9,10.5,2.9,58.5,0,0,0,,0,0,42.5,26.7,197.4,1014.7,9.3,16,281.8,24.3,8,,2024-04-24T06:57:42,2024-04-24T20:41:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"LEBL,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2024-04-25,18.8,11.4,13.2,18.8,11.4,13.2,7.6,69,0,0,0,,0,0,41.4,21.3,57.5,1010.3,68.8,16.4,160.8,14,7,,2024-04-25T06:56:17,2024-04-25T20:42:56,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
barcelona,2024-04-26,18.2,9.7,14.6,18.2,9.7,14.6,10.1,75.6,0.389,100,4.17,rain,0,0,23.8,19.1,167.5,1007.2,54,14.2,239.7,20.6,8,,2024-04-26T06:54:53,2024-04-26T20:44:00,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
