name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Barcelona,2023-05-27,26.6,14.7,20.6,26.6,14.7,20.6,13.5,65.6,0,0,0,,0,0,25.6,23,251.9,1016.7,44.4,13.6,283.5,24.6,8,,2023-05-27T06:23:15,2023-05-27T21:14:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-05-28,26.8,15.6,21.4,27.7,15.6,21.4,14,64,0,0,0,,0,0,42.5,27.8,237.9,1013,38.9,14.7,273.9,23.7,8,,2023-05-28T06:22:39,2023-05-28T21:15:02,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-05-29,24.2,16.5,20.3,24.2,16.5,20.3,14.6,70.3,0,0,0,,0,0,23,23.2,130.5,1012.6,44.2,13.7,273.8,23.4,8,,2023-05-29T06:22:04,2023-05-29T21:15:52,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-05-30,25,16,20.3,25,16,20.3,14.6,70.7,0,0,0,,0,0,15.8,17.7,296.8,1014.6,40,13.2,255,22,8,,2023-05-30T06:21:31,2023-05-30T21:16:39,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,E9530,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-05-31,24.3,15.8,20.1,24.3,15.8,20.1,13.3,65.8,0,0,0,,0,0,22,22.2,48.9,1014.6,43.9,16.1,149.5,12.9,5,,2023-05-31T06:21:01,2023-05-31T21:17:26,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
Barcelona,2023-06-01,24.5,17.2,20.4,24.5,17.2,20.4,15.7,74.9,2.717,100,8.33,rain,0,0,18,15.1,86.8,1014.5,43.4,14.6,225.8,19.6,8,,2023-06-01T06:20:32,2023-06-01T21:18:12,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LEBL,D1298,LEGE,08184099999,E9530,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-02,22.7,15,19.7,22.7,15,19.7,15,74.8,0,0,0,,0,0,19.8,17.9,154.7,1013.6,28.9,14,255.9,21.9,9,,2023-06-02T06:20:05,2023-06-02T21:18:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-03,22.4,16.1,19.5,22.4,16.1,19.5,15.6,78.5,0.011,100,4.17,rain,0,0,14.4,17.1,188.1,1014,33.3,14.7,177.4,15.5,7,,2023-06-03T06:19:41,2023-06-03T21:19:39,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,E9530,LELL,08181099999,08176399999"
Barcelona,2023-06-04,23.5,16.1,20,23.5,16.1,20,15.5,76,0,0,0,,0,0,38.9,18,131.7,1014.9,41.6,15.1,245.8,21.1,9,,2023-06-04T06:19:18,2023-06-04T21:20:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,08184099999,E9530,LELL,08181099999,08176399999"
Barcelona,2023-06-05,25.4,16,20.7,25.4,16,20.7,15.7,73.9,0.102,100,4.17,rain,0,0,31.7,20.6,203.5,1015.2,31.8,15.5,295.4,25.7,9,,2023-06-05T06:18:57,2023-06-05T21:21:02,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-06,26.9,17.2,22.4,28.4,17.2,22.4,16.3,69.4,0,0,0,,0,0,34.2,25.8,220.1,1014.6,35.4,15.9,305.5,26.2,9,,2023-06-06T06:18:39,2023-06-06T21:21:41,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,AR110,08184099999,E9530,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-07,24.2,18.1,21.5,24.2,18.1,21.5,16.7,74.4,0.108,100,4.17,rain,0,0,23.8,15.8,196.8,1014.9,39,16.3,197.9,17.1,7,,2023-06-07T06:18:22,2023-06-07T21:22:19,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,C8593,D1298,LEGE,08184099999,LELL,08181099999,08176399999"
Barcelona,2023-06-08,25,18.3,22.1,25,18.3,22.1,16.8,72.4,0,0,0,,0,0,19.8,21.1,181.2,1012.2,41.4,15.9,257.4,22.2,9,,2023-06-08T06:18:07,2023-06-08T21:22:55,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,C8593,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-09,27.7,20.3,23.4,29.7,20.3,23.6,18.5,74.6,0,0,0,,0,0,51.8,23.9,217,1009.6,53,14.9,243.7,20.9,8,,2023-06-09T06:17:55,2023-06-09T21:23:29,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,C8593,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-10,25.3,19.2,23,25.3,19.2,23,18,73.7,0.017,100,4.17,rain,0,0,25.6,20.8,93.8,1012.1,39.5,14.7,268,23.3,8,,2023-06-10T06:17:44,2023-06-10T21:24:02,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,C8593,D1298,LEGE,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-11,28.3,19.4,23.8,28.6,19.4,24,16.2,63.5,0.006,100,4.17,rain,0,0,21.2,17.2,290.6,1013.5,41.8,15.9,237.9,20.5,8,,2023-06-11T06:17:36,2023-06-11T21:24:34,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,D1298,LEGE,AR110,08184099999,LELL,08181099999,08176399999"
Barcelona,2023-06-12,27.2,19.1,23.7,28.1,19.1,23.7,15.3,60.3,1.377,100,4.17,rain,0,0,20.9,18.2,234,1011.5,30.6,16.3,273.6,23.5,9,,2023-06-12T06:17:29,2023-06-12T21:25:04,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LEBL,C8593,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
Barcelona,2023-06-13,24.7,19.8,22.1,24.7,19.8,22.1,17.2,73.9,0,0,0,,0,0,40.7,24,336.9,1008.6,43.1,15.2,129.7,11,7,,2023-06-13T06:17:25,2023-06-13T21:25:32,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,C8593,D1298,LEGE,08184099999,LELL,V7DJ5,08181099999,08176399999"
