name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Russia,2023-05-27,20.3,13.4,16.8,20.3,13.4,16.8,6.4,53,0,0,0,,0,0,43.2,23.6,323.6,1014.6,49.4,10,,,,,2023-05-27T03:59:44,2023-05-27T20:54:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-05-28,15.4,7.7,11.7,15.4,4.8,10.8,5.1,64.7,1.9,100,29.17,rain,0,0,46.8,22.6,316,1016.6,58,10,,,,,2023-05-28T03:58:26,2023-05-28T20:56:12,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-05-29,20.8,5.6,14.6,20.8,4.1,14.1,3.8,53.1,0,0,0,,0,0,36,16.7,246.7,1019,7.9,10,,,,,2023-05-29T03:57:11,2023-05-29T20:57:41,0.31,Clear,Clear conditions throughout the day.,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-05-30,21.2,9.8,16.4,21.2,9.8,16.4,5.2,50.7,0,0,0,,0,0,28.8,11.1,236.8,1016.3,34.1,10,,,,,2023-05-30T03:55:59,2023-05-30T20:59:07,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-05-31,11.5,7.6,10.3,11.5,6.1,9.6,8,86,0.6,100,8.33,rain,0,0,39.6,25.2,294.9,1012.3,57.9,9.6,,,,,2023-05-31T03:54:51,2023-05-31T21:00:31,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-06-01,20.6,5,14.1,20.6,3.3,13.6,6.5,64.6,0,0,0,,0,0,50.4,25.1,228.3,1010.4,35.5,9.8,,,,,2023-06-01T03:53:45,2023-06-01T21:01:52,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-06-02,23,8.5,15.3,23,8.5,15.2,9.3,70.3,0.6,100,20.83,rain,0,0,46.8,19.1,130.6,1009,55.5,9.8,,,,,2023-06-02T03:52:43,2023-06-02T21:03:11,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-06-03,12,6.2,8.7,12,3.1,6.6,7.2,89.9,12.4,100,54.17,rain,0,0,46.8,24.6,319.3,1011.2,80.8,9,,,,,2023-06-03T03:51:44,2023-06-03T21:04:27,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-06-04,14.2,3.2,9.7,14.2,0.3,8.6,2.9,65.1,0,0,0,,0,0,36,21.9,249.8,1019.6,38.3,9.8,,,,,2023-06-04T03:50:49,2023-06-04T21:05:40,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
Russia,2023-06-05,16.4,7.9,12.2,16.4,5.8,11.6,6.2,67.3,0.8,100,12.5,rain,0,0,43.6,22.5,248.4,1019.3,57.7,10,,,,,2023-06-05T03:49:57,2023-06-05T21:06:51,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
