name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barcelona,2016-01-01,15.6,7.2,11.3,15.6,4.8,10.6,8.9,85.4,0,0,0,,0,0,33.5,17.1,310.6,1022.7,44.1,11.3,37.2,3.2,2,,2016-01-01T08:17:28,2016-01-01T17:31:55,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-02,16,9.6,13.5,16,9.3,13.5,7.1,67.7,0,0,0,,0,0,42.1,24.2,269.8,1016.8,39.3,16.8,74.9,6.5,3,,2016-01-02T08:17:35,2016-01-02T17:32:46,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-03,14.1,6.6,10.7,14.1,4.8,9.9,3.3,60.6,0,0,0,,0,0,50,33.4,272.3,1013,33.8,19.6,66.5,5.8,3,,2016-01-03T08:17:39,2016-01-03T17:33:39,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-04,14.5,11.1,12.7,14.5,11.1,12.7,8.3,75.1,1.244,100,16.67,rain,0,0,36.4,16.9,287.5,1002.6,53,18.2,45.5,3.9,2,,2016-01-04T08:17:40,2016-01-04T17:34:33,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-05,15,8.4,10.8,15,7.4,10.4,4.7,67.9,0.166,100,8.33,rain,0,0,32.4,24.9,287.7,1003,32.2,18.9,83.9,7.2,4,,2016-01-05T08:17:40,2016-01-05T17:35:28,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-06,13.2,7,10.5,13.2,4.5,9.5,0.7,51.2,0,0,0,,0,0,61.2,35.8,280.9,1008.5,28.8,22.7,91.7,7.8,4,,2016-01-06T08:17:37,2016-01-06T17:36:25,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-07,19.2,9.9,14.9,19.2,9.3,14.9,6.8,58.5,0,0,0,,0,0,50,26.6,262.2,1008.5,33.2,19.6,71.3,6,3,,2016-01-07T08:17:32,2016-01-07T17:37:24,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-08,20.7,13.4,17.1,20.7,13.4,17.1,10.8,67.4,0,0,0,,0,0,48.2,33.2,242.6,1008,27.6,15,99,8.5,4,,2016-01-08T08:17:24,2016-01-08T17:38:23,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-09,18.1,13.1,15.4,18.1,13.1,15.4,9.3,68.4,0,0,0,,0,0,30.6,19.9,246.4,1005.8,29.7,16,72.2,6.3,3,,2016-01-09T08:17:14,2016-01-09T17:39:24,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
barcelona,2016-01-10,18,12.3,15.2,18,12.3,15.2,7.6,60.7,0,0,0,,0,0,66.6,37.6,238.8,1006.9,29.7,18.3,97.1,8.4,4,,2016-01-10T08:17:02,2016-01-10T17:40:27,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,LEGE,08184099999,LELL,08181099999,08176399999"
